997->,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.125,1,0.5,0.25,0.25,0.5,0.25,0.041,0.058,0.025,0.289,0.008,0,0.033,0.091,0.388,0.058,0.008,0.773,0.227
998->,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,1,0.5,0.5,1,0.5,0.25,0.25,0.5,0.033,0.066,0.132,0.289,0.025,0,0.074,0.091,0.289,0,0,0.591,0.409
999->,0.5,0.5,0.125,0.5,0.25,0.5,0.125,0.25,0.5,1,0.125,1,0.25,0.5,0.125,0.25,0.041,0.091,0.066,0.14,0,0,0.223,0.132,0.281,0.025,0,0.682,0.227
1027->,0.5,0.5,0.25,0,0.5,0.5,0.25,0.25,1,0.5,0.5,0.25,1,0.25,1,0.125,0.041,0.132,0.231,0.331,0.008,0,0.05,0.025,0.174,0.008,0,0.773,0.136
1028->,0.25,0,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.125,0.125,1,0.125,0.25,0.125,0.074,0.256,0.174,0.248,0,0,0.157,0.066,0.025,0,0,0.591,0.136
1029->,0.25,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.125,0.125,0.5,0.5,0.25,0.125,0.25,0.25,0.025,0.099,0.025,0.149,0.033,0,0.099,0.132,0.397,0.041,0,0.773,0.136
1030->,0.5,0.25,0.5,1,0.5,0.25,0.5,0.5,0.5,0.5,1,0.5,0.25,0.25,0.5,0.5,0.033,0.107,0.223,0.124,0,0,0.083,0.132,0.298,0,0,0.682,0.227
1031->,0.5,1,0.5,1,0.5,0.5,0.25,1,1,0.5,1,1,0.5,0.5,0.25,1,0.116,0.091,0.083,0.207,0.008,0,0.174,0.083,0.182,0.058,0,0.682,0.227
1058->,0.5,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,1,0.5,0.25,0.25,1,0.198,0.058,0.14,0.322,0.099,0.025,0.041,0.058,0.058,0,0,0.864,0.136
1059->,0.5,0.25,0,0,0.5,0.25,0.25,0.125,0.5,1,0.25,0.125,0.25,1,0.125,1,0.025,0.041,0.017,0.14,0.041,0,0.083,0.347,0.306,0,0,0.773,0.136
1060->,0,0,0.5,1,0.25,0.125,0.25,1,0.25,0.125,0.125,1,0.125,1,0.125,1,0.033,0.033,0.074,0.107,0.124,0.041,0.05,0.099,0.438,0,0,0.045,0.318
1061->,0.5,1,0.25,0.25,0.25,1,0.25,0.25,0.125,1,0.5,0.5,0.125,1,0.25,0.5,0.05,0.025,0.05,0.132,0.116,0.099,0.116,0.24,0.132,0.041,0,0.591,0.227
1321->,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.091,0.182,0.116,0.165,0,0,0.198,0.107,0.14,0,0,0.591,0.409
1322->,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.25,1,0.025,0.107,0.083,0.248,0,0,0.058,0.124,0.355,0,0,0.591,0.409
1353->,0.5,0.25,0.5,1,0.5,0.25,0.5,1,0.5,0.25,0.5,0.5,0.5,0.25,0.5,1,0.331,0.19,0.033,0.099,0.05,0,0.099,0.066,0.132,0,0,0.591,0.409
1354->,0.5,1,0.25,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,1,0.165,0.231,0.074,0.091,0.058,0,0.124,0.041,0.215,0,0,0.591,0.409
1387->,1,1,0.5,1,0.5,1,0.5,1,1,1,0.25,1,1,1,0.5,1,0.025,0.091,0.099,0.215,0.058,0,0.107,0.124,0.207,0.074,0,0.591,0.409
1419->,1,0.125,1,0.125,1,0,1,0.125,1,0.125,1,0.125,1,0.125,1,0.125,0.339,0.132,0.041,0.14,0.041,0,0.107,0.074,0.124,0,0,0.591,0.409
1420->,1,0.125,0.5,0.5,1,0.125,0.5,0.25,1,0.125,0.5,0.5,1,0.125,0.5,0.5,0.364,0.157,0.017,0.132,0.058,0,0.066,0.041,0.149,0.017,0,0.045,0.409
1440->,0.5,0.5,1,0.5,0.5,0.5,1,0.25,0.25,0.5,1,0.25,0.25,0.25,1,0.5,0.041,0.05,0.05,0.157,0,0,0.14,0.174,0.314,0.074,0,0.682,0.409
1441->,1,0.5,1,1,1,0.25,1,0.25,1,0.25,1,0.5,1,0.5,1,0.5,0.165,0.033,0.041,0.174,0.017,0,0.074,0.074,0.331,0.091,0,0.682,0.409
1471->,0.25,0.5,0.5,0.25,0.25,0.25,0.5,0.5,0.125,0.125,0.5,0.25,0.25,0.25,0.25,0.25,0.033,0.083,0.099,0.405,0.025,0,0.116,0.132,0.107,0,0,0.773,0.318
1472->,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.025,0.066,0.066,0.314,0.017,0,0.066,0.116,0.289,0.041,0,0.682,0.409
1473->,0.5,0.5,1,1,0.25,0.25,0.25,1,0.25,0.25,0.5,1,0.5,0.25,0.5,1,0.025,0.058,0.091,0.322,0,0,0.099,0.14,0.264,0,0,0.682,0.318
1503->,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.5,0.125,0.125,0.25,0.25,0.25,0.125,0.25,0.5,0.05,0.116,0.198,0.256,0.058,0,0.041,0.174,0.107,0,0,0.773,0.318
1504->,0.25,0.5,0.5,0.5,0.5,0.5,0.25,1,0.25,0.25,0.25,0.5,0.25,0.5,0.25,0.5,0.017,0.066,0.083,0.364,0,0,0.083,0.107,0.281,0,0,0.591,0.409
1508->,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.125,0.5,0.5,0.25,0.25,0.5,0.033,0.107,0.025,0.017,0,0,0.14,0.413,0.264,0,0,0.591,0.318
1509->,0.25,0.5,0.125,0.25,0.25,0.5,0.125,0.5,0.125,0.5,0.125,0.5,0.25,0.5,0.125,0.25,0.099,0.025,0.033,0.083,0,0,0.198,0.174,0.289,0.099,0,0.682,0.227
1538->,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.25,0.132,0.165,0.124,0.099,0,0,0.132,0.165,0.174,0.008,0,0.591,0.409
1540->,0.25,1,0.5,0.5,0.25,1,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0.008,0.017,0.066,0.116,0.033,0,0.041,0.074,0.57,0.066,0.008,0.773,0.136
1541->,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.05,0.14,0.157,0.314,0,0,0.041,0.107,0.19,0,0,0.591,0.409
1542->,0.25,0.5,0.125,0.5,0.5,0.5,0.125,1,0.5,0.5,0.125,0.5,0.25,0.5,0.125,0.25,0.066,0.14,0.05,0.025,0,0,0.289,0.058,0.347,0.025,0,0.682,0.227
1570->,0.5,1,0.25,0.125,0.5,0.5,0.25,0.125,0.5,0.5,0.25,0,0.5,0.5,0.25,0.25,0.041,0.165,0.207,0.421,0.017,0,0.025,0.074,0.05,0,0,0.773,0.227
1571->,0.25,0.125,1,1,0.25,0.125,1,1,0.25,0,0.25,0.5,0.25,0.25,0.25,0.25,0.198,0.157,0.066,0.207,0,0,0.149,0.107,0.116,0,0,0.773,0.136
